timestamp,station_name,latitude,longitude,TMP,RH,UGRD,VGRD,CAPE,PWAT,APCP,PRES,file_name,WAVE_H,WAVE_DIR,WAVE_P,CURRENT_VEL,CURRENT_DIR,SST,storm_severity
2026-06-01 00:00:00,Bach Long Vi,20.13,107.73,303.05230712890625,66.20000457763672,0.7871752977371216,3.7656383514404297,1212.0,45.05189083043653,0.0,100892.828125,gfs.20260601_00.f000.grib2,1.0,180.0,5.0,0.2,180.0,300.55158051504264,0
2026-06-01 06:00:00,Bach Long Vi,20.13,107.73,303.9878845214844,59.900001525878906,0.980883777141571,2.7623682022094727,1159.0,42.66529879023576,0.0,100768.4765625,gfs.20260601_06.f000.grib2,1.0,180.0,5.0,0.2,180.0,301.1846924926419,0
2026-06-01 12:00:00,Bach Long Vi,20.13,107.73,303.50006103515625,49.09999847412109,-1.0934271812438965,3.144850969314575,969.0,39.1854680185842,0.0,100627.6875,gfs.20260601_12.f000.grib2,1.0,180.0,5.0,0.2,180.0,300.9574864047588,0
2026-06-01 18:00:00,Bach Long Vi,20.13,107.73,303.79998779296875,64.0,0.7477319240570068,6.376589298248291,1432.0,47.34604140226918,0.0,100698.015625,gfs.20260601_18.f000.grib2,1.0,180.0,5.0,0.2,180.0,300.0268179259289,0
2026-06-02 00:00:00,Bach Long Vi,20.13,107.73,303.7012939453125,60.900001525878906,0.5932153463363647,5.661056995391846,1421.0,42.44363477887365,0.0,100707.5625,gfs.20260602_00.f000.grib2,1.0,180.0,5.0,0.2,180.0,300.7131107575686,0
2026-06-02 06:00:00,Bach Long Vi,20.13,107.73,303.9510192871094,45.79999923706055,0.1122265607118606,5.858234882354736,1355.0,36.77825471158992,0.0,100535.453125,gfs.20260602_06.f000.grib2,1.0,180.0,5.0,0.2,180.0,301.37339817282606,0
2026-06-02 12:00:00,Bach Long Vi,20.13,107.73,303.61676025390625,42.09999847412109,-1.7229827642440796,5.313891410827637,792.0,38.4235654015226,0.0,100380.765625,gfs.20260602_12.f000.grib2,1.0,180.0,5.0,0.2,180.0,300.77454674197736,0
2026-06-02 18:00:00,Bach Long Vi,20.13,107.73,303.58843994140625,66.5999984741211,1.847368121147156,7.341811656951904,1106.0,46.55752876006363,0.0,100435.1953125,gfs.20260602_18.f000.grib2,1.0,180.0,5.0,0.2,180.0,301.82163335566736,0
2026-06-03 00:00:00,Bach Long Vi,20.13,107.73,303.4056701660156,45.70000076293945,-0.9406103491783142,7.024582386016846,895.0,35.44955678232932,0.0,100428.359375,gfs.20260603_00.f000.grib2,1.0,180.0,5.0,0.2,180.0,300.6764906678873,0
2026-06-03 06:00:00,Bach Long Vi,20.13,107.73,303.70367431640625,63.5,-1.0243602991104126,7.368220329284668,1773.0,45.0406315617813,0.0,100282.0,gfs.20260603_06.f000.grib2,1.0,180.0,5.0,0.2,180.0,300.4787061938234,0
2026-06-03 12:00:00,Bach Long Vi,20.13,107.73,303.36187744140625,57.59999847412109,-3.316269636154175,3.827578067779541,1845.0,40.155980166132885,0.0,100098.3125,gfs.20260603_12.f000.grib2,1.0,180.0,5.0,0.2,180.0,300.6843471421318,0
2026-06-03 18:00:00,Bach Long Vi,20.13,107.73,303.6923217773437,70.9000015258789,-0.860461413860321,9.453791618347168,2397.0,45.96702376922667,17.472652616619243,100213.265625,gfs.20260603_18.f000.grib2,1.0,180.0,5.0,0.2,180.0,300.7118043898028,0
2026-06-04 00:00:00,Bach Long Vi,20.13,107.73,303.7012939453125,67.80000305175781,-0.8881615996360779,9.727956771850586,2865.0,46.15586668180394,0.0,100228.734375,gfs.20260604_00.f000.grib2,1.0,180.0,5.0,0.2,180.0,300.9011946338988,0
2026-06-04 06:00:00,Bach Long Vi,20.13,107.73,303.79998779296875,60.79999923706055,1.7346539497375488,7.2226881980896,3203.0,43.73490545059198,,100188.3125,gfs.20260604_06.f000.grib2,1.0,180.0,5.0,0.2,180.0,303.79998779296875,0
2026-06-04 12:00:00,Bach Long Vi,20.13,107.73,303.53863525390625,49.20000076293945,-1.373964786529541,5.737553596496582,2988.0,37.89310935536994,,100107.5234375,gfs.20260604_12.f000.grib2,1.0,180.0,5.0,0.2,180.0,303.53863525390625,0
2026-06-01 00:00:00,Con Dao,8.68,106.6,302.6523132324219,90.5999984741211,8.307175636291504,-0.5543615818023682,800.0,50.91648208343665,9.274211639052726,100966.421875,gfs.20260601_00.f000.grib2,1.0,180.0,5.0,0.2,180.0,300.68420930442096,0
2026-06-01 06:00:00,Con Dao,8.68,106.6,302.587890625,77.5999984741211,8.19088363647461,0.902368187904358,132.0,48.67323136383978,6.52845181111587,100906.078125,gfs.20260601_06.f000.grib2,1.0,180.0,5.0,0.2,180.0,300.1300286282299,0
2026-06-01 12:00:00,Con Dao,8.68,106.6,302.50006103515625,86.4000015258789,6.8465728759765625,-1.6951489448547363,1053.0,50.10881478324833,10.45927811947682,100846.890625,gfs.20260601_12.f000.grib2,1.0,180.0,5.0,0.2,180.0,301.2772309972937,0
2026-06-01 18:00:00,Con Dao,8.68,106.6,302.3999938964844,90.1999969482422,7.147731781005859,3.776589393615722,943.0,52.096602124436885,10.067566026042208,100901.2109375,gfs.20260601_18.f000.grib2,1.0,180.0,5.0,0.2,180.0,300.9678523997417,0
2026-06-02 00:00:00,Con Dao,8.68,106.6,302.4013061523437,86.0,8.503215789794922,1.5910571813583374,694.0,49.79854600405683,8.370854402205355,100936.359375,gfs.20260602_00.f000.grib2,1.0,180.0,5.0,0.2,180.0,301.0624184921136,0
2026-06-02 06:00:00,Con Dao,8.68,106.6,302.4510192871094,84.80000305175781,8.572226524353027,2.048234939575196,1040.0,54.30108652038506,9.820270712579958,100801.046875,gfs.20260602_06.f000.grib2,1.0,180.0,5.0,0.2,180.0,301.84611032644534,0
2026-06-02 12:00:00,Con Dao,8.68,106.6,302.416748046875,82.0,8.65701675415039,1.053891658782959,994.0,49.39812762083663,9.659452895802646,100801.5625,gfs.20260602_12.f000.grib2,1.0,180.0,5.0,0.2,180.0,300.65054343152195,0
2026-06-02 18:00:00,Con Dao,8.68,106.6,302.2884521484375,78.30000305175781,6.887368202209473,3.9618115425109854,1414.0,45.63725758544758,10.475774822283778,100782.390625,gfs.20260602_18.f000.grib2,1.0,180.0,5.0,0.2,180.0,301.5111883732423,0
2026-06-03 00:00:00,Con Dao,8.68,106.6,302.4056701660156,75.9000015258789,9.65938949584961,0.8645825386047363,2184.0,48.61359568358138,12.451998841991294,100817.15625,gfs.20260603_00.f000.grib2,1.0,180.0,5.0,0.2,180.0,300.4607857582221,0
2026-06-03 06:00:00,Con Dao,8.68,106.6,302.60369873046875,68.0999984741211,7.615639686584473,1.388220191001892,1598.0,41.70386018540952,0.0,100690.0,gfs.20260603_06.f000.grib2,1.0,180.0,5.0,0.2,180.0,301.079099588883,0
2026-06-03 12:00:00,Con Dao,8.68,106.6,302.5618591308594,78.4000015258789,7.463730335235596,5.687578201293945,2020.0,48.62051649665013,11.79535515120047,100738.3125,gfs.20260603_12.f000.grib2,1.0,180.0,5.0,0.2,180.0,300.78833159561367,0
2026-06-03 18:00:00,Con Dao,8.68,106.6,302.4923095703125,73.19999694824219,7.579538345336914,4.69379186630249,1928.0,42.09912288700608,11.031338401933724,100818.0703125,gfs.20260603_18.f000.grib2,1.0,180.0,5.0,0.2,180.0,299.7751529960626,0
2026-06-04 00:00:00,Con Dao,8.68,106.6,302.4013061523437,75.0,6.281838417053223,6.347956657409668,1915.0,43.94558713071876,10.855661984791842,100823.9296875,gfs.20260604_00.f000.grib2,1.0,180.0,5.0,0.2,180.0,299.9104476434531,0
2026-06-04 06:00:00,Con Dao,8.68,106.6,302.3999938964844,76.5,5.594654083251953,5.132688045501709,1736.0,47.06385464843876,,100778.7109375,gfs.20260604_06.f000.grib2,1.0,180.0,5.0,0.2,180.0,302.3999938964844,0
2026-06-04 12:00:00,Con Dao,8.68,106.6,302.3386535644531,75.5999984741211,3.9760351181030273,4.807553768157959,1880.0,44.95391604630333,,100782.7265625,gfs.20260604_12.f000.grib2,1.0,180.0,5.0,0.2,180.0,302.3386535644531,0
2026-06-01 00:00:00,Hoang Sa,16.54,111.61,303.2523193359375,76.0,-2.6828246116638184,-1.544361591339111,1521.0,46.924635003294334,9.834370014285412,100929.625,gfs.20260601_00.f000.grib2,1.0,180.0,5.0,0.2,180.0,301.19772644823104,0
2026-06-01 06:00:00,Hoang Sa,16.54,111.61,304.4878845214844,60.400001525878906,-1.8591161966323853,-2.507631778717041,933.0,45.11517997025986,0.0,100790.875,gfs.20260601_06.f000.grib2,1.0,180.0,5.0,0.2,180.0,300.6994748765052,0
2026-06-01 12:00:00,Hoang Sa,16.54,111.61,303.2000732421875,55.0,-2.7934272289276123,-1.2351489067077637,1109.0,41.86210890827315,0.0,100789.2890625,gfs.20260601_12.f000.grib2,1.0,180.0,5.0,0.2,180.0,300.9967960965801,0
2026-06-01 18:00:00,Hoang Sa,16.54,111.61,303.1000061035156,48.59999847412109,-3.202268123626709,1.0265893936157229,1165.0,38.95256878315427,0.0,100755.609375,gfs.20260601_18.f000.grib2,1.0,180.0,5.0,0.2,180.0,301.3644504978811,0
2026-06-02 00:00:00,Hoang Sa,16.54,111.61,303.2012939453125,51.29999923706055,-1.7967846393585205,-0.5689428448677063,1107.0,36.64350556634769,0.0,100757.1640625,gfs.20260602_00.f000.grib2,1.0,180.0,5.0,0.2,180.0,301.6375722131467,0
2026-06-02 06:00:00,Hoang Sa,16.54,111.61,305.1510314941406,63.20000076293945,-1.0377734899520874,0.0482348650693893,1138.0,45.38812279468429,0.0,100658.6484375,gfs.20260602_06.f000.grib2,1.0,180.0,5.0,0.2,180.0,300.2753608248004,0
2026-06-02 12:00:00,Hoang Sa,16.54,111.61,303.3167419433594,71.0,-2.78298282623291,0.1738916039466858,1315.0,47.03763977784619,12.212924533232986,100574.359375,gfs.20260602_12.f000.grib2,1.0,180.0,5.0,0.2,180.0,301.7565374372249,0
2026-06-02 18:00:00,Hoang Sa,16.54,111.61,303.1884460449219,65.0999984741211,-1.3326318264007568,2.2318115234375,1305.0,45.77375871127597,0.0,100499.1953125,gfs.20260602_18.f000.grib2,1.0,180.0,5.0,0.2,180.0,300.583489515217,0
2026-06-03 00:00:00,Hoang Sa,16.54,111.61,303.2056579589844,67.5,-1.3006103038787842,1.1445825099945068,1512.0,43.85013846278599,0.0,100548.359375,gfs.20260603_00.f000.grib2,1.0,180.0,5.0,0.2,180.0,301.0365032904354,0
2026-06-03 06:00:00,Hoang Sa,16.54,111.61,305.60369873046875,66.80000305175781,0.4956396520137787,0.0782202184200286,1373.0,47.75423136307862,0.0,100408.3984375,gfs.20260603_06.f000.grib2,1.0,180.0,5.0,0.2,180.0,300.11982394565814,0
2026-06-03 12:00:00,Hoang Sa,16.54,111.61,303.161865234375,68.19999694824219,-0.446269541978836,4.257577896118164,1777.0,42.81012668284732,0.0,100416.7109375,gfs.20260603_12.f000.grib2,1.0,180.0,5.0,0.2,180.0,300.9997019635127,0
2026-06-03 18:00:00,Hoang Sa,16.54,111.61,303.1923217773437,48.79999923706055,1.989538550376892,7.8537917137146,2324.0,34.91606911267851,0.0,100421.265625,gfs.20260603_18.f000.grib2,1.0,180.0,5.0,0.2,180.0,300.96484675445123,0
2026-06-04 00:00:00,Hoang Sa,16.54,111.61,303.2012939453125,47.70000076293945,3.2818384170532227,5.617956638336182,1966.0,38.50699286793292,0.0,100443.1328125,gfs.20260604_00.f000.grib2,1.0,180.0,5.0,0.2,180.0,300.7183307877221,0
2026-06-04 06:00:00,Hoang Sa,16.54,111.61,303.5,62.400001525878906,3.4946539402008057,6.092688083648682,2391.0,42.67915107050053,,100412.3125,gfs.20260604_06.f000.grib2,1.0,180.0,5.0,0.2,180.0,303.5,0
2026-06-04 12:00:00,Hoang Sa,16.54,111.61,303.1386413574219,64.30000305175781,0.2460351586341858,6.997553825378418,2865.0,42.26945141468634,,100453.125,gfs.20260604_12.f000.grib2,1.0,180.0,5.0,0.2,180.0,303.1386413574219,0
2026-06-01 00:00:00,Huyen Tran,8.15,110.63,302.7523193359375,81.80000305175781,8.137175559997559,4.385638236999512,1286.0,50.03200177768038,9.715104203030116,100950.421875,gfs.20260601_00.f000.grib2,1.0,180.0,5.0,0.2,180.0,301.8691839892265,0
2026-06-01 06:00:00,Huyen Tran,8.15,110.63,302.6878967285156,86.9000015258789,10.270883560180664,4.372368335723877,1082.0,47.816707873923214,10.26623930694316,100837.2734375,gfs.20260601_06.f000.grib2,1.0,180.0,5.0,0.2,180.0,300.69498767949443,1
2026-06-01 12:00:00,Huyen Tran,8.15,110.63,302.50006103515625,84.0,8.2965726852417,2.4448511600494385,1104.0,49.91074777705935,9.321325176701116,100912.484375,gfs.20260601_12.f000.grib2,1.0,180.0,5.0,0.2,180.0,300.94215251226706,0
2026-06-01 18:00:00,Huyen Tran,8.15,110.63,302.3999938964844,86.4000015258789,7.117732048034668,3.826589345932007,1297.0,51.87421659810162,10.628321152315758,100862.8125,gfs.20260601_18.f000.grib2,1.0,180.0,5.0,0.2,180.0,300.9678523997417,0
2026-06-02 00:00:00,Huyen Tran,8.15,110.63,302.4013061523437,89.69999694824219,7.623215198516846,4.391057014465332,677.0,55.43774609729553,7.982148318170269,100968.359375,gfs.20260602_00.f000.grib2,1.0,180.0,5.0,0.2,180.0,301.4566046380409,0
2026-06-02 06:00:00,Huyen Tran,8.15,110.63,302.4510192871094,88.0,8.512226104736328,4.518234729766846,599.0,50.83998849411677,9.92509138853229,100817.046875,gfs.20260602_06.f000.grib2,1.0,180.0,5.0,0.2,180.0,301.42195677564416,0
2026-06-02 12:00:00,Huyen Tran,8.15,110.63,302.5167541503906,87.80000305175781,8.6270170211792,4.853891372680664,704.0,50.27814524050269,9.526934343853616,100878.359375,gfs.20260602_12.f000.grib2,1.0,180.0,5.0,0.2,180.0,301.4138419168378,0
2026-06-02 18:00:00,Huyen Tran,8.15,110.63,302.48846435546875,78.4000015258789,8.287367820739746,4.76181173324585,1261.0,47.089183056385615,10.117088207203068,100804.796875,gfs.20260602_18.f000.grib2,1.0,180.0,5.0,0.2,180.0,301.19594994072867,0
2026-06-03 00:00:00,Huyen Tran,8.15,110.63,302.50567626953125,82.4000015258789,7.439389705657959,4.464582443237305,1539.0,51.54931925005259,10.400675412194262,100893.953125,gfs.20260603_00.f000.grib2,1.0,180.0,5.0,0.2,180.0,300.8229976655766,0
2026-06-03 06:00:00,Huyen Tran,8.15,110.63,302.60369873046875,80.4000015258789,6.995639801025391,4.308220386505127,1437.0,49.72305092537405,10.28684610785663,100790.796875,gfs.20260603_06.f000.grib2,1.0,180.0,5.0,0.2,180.0,299.49038679088926,0
2026-06-03 12:00:00,Huyen Tran,8.15,110.63,302.2618713378906,76.0,4.463730335235596,5.407577991485596,2026.0,45.733286599301856,11.14553671361732,100835.9140625,gfs.20260603_12.f000.grib2,1.0,180.0,5.0,0.2,180.0,301.05094846616294,0
2026-06-03 18:00:00,Huyen Tran,8.15,110.63,302.0923156738281,74.5,4.949538707733154,3.923791885375977,2016.0,46.965008376968896,11.080986491736615,100821.265625,gfs.20260603_18.f000.grib2,1.0,180.0,5.0,0.2,180.0,300.2045989628731,0
2026-06-04 00:00:00,Huyen Tran,8.15,110.63,302.1012878417969,71.30000305175781,4.421838283538818,5.287956714630127,2301.0,44.866088082094514,10.129018073152862,100916.734375,gfs.20260604_00.f000.grib2,1.0,180.0,5.0,0.2,180.0,301.3814516631691,0
2026-06-04 06:00:00,Huyen Tran,8.15,110.63,302.20001220703125,69.69999694824219,4.424654006958008,5.292687892913818,2602.0,43.99060621836599,,100807.515625,gfs.20260604_06.f000.grib2,1.0,180.0,5.0,0.2,180.0,302.20001220703125,0
2026-06-04 12:00:00,Huyen Tran,8.15,110.63,302.03863525390625,64.80000305175781,3.0960352420806885,4.247553825378418,2910.0,41.69364197656205,,100856.328125,gfs.20260604_12.f000.grib2,1.0,180.0,5.0,0.2,180.0,302.03863525390625,0
